# bjd rv err
2457798.98748 -57.29 1.12
2457728.18169 92.48 0.80
2457724.19353 -55.37 0.70
#2459614.40849 98.56 1.64
2457716.24128 -15.78 0.91
2458788.26919 43.93 1.82
2458076.21315 -58.28 1.17
2458077.24960 60.87 1.20
2458135.06377 -13.75 1.30
2457789.06129 89.22 1.14
2457740.16176 -9.38 0.91
2457798.01502 60.90 1.34
2457391.11682 -56.73 1.90
2458162.00285 -46.34 1.28
2457725.19900 83.63 0.80
2457719.20096 18.62 0.71
2457839.97482 1.70 1.98
2457749.17446 -55.29 1.05
2458099.16145 16.39 1.21
2457758.15919 37.11 0.98
2457821.98708 46.65 3.49
2458105.14407 80.78 1.28
2458109.13634 -24.99 1.56
2457760.16143 -58.75 0.92
2457759.14744 65.65 0.98
2457721.21125 -61.11 0.70
2457827.97495 93.89 1.78
2457810.96286 60.34 1.16
2458153.10015 48.25 6.50
2458153.13070 42.62 6.50
2458088.18385 30.33 4.82
2458088.23732 39.40 4.82
2458088.25329 42.88 4.80
2458084.24063 -29.72 1.04
2458084.27188 -34.49 1.08
2458186.02236 91.01 2.52
2458144.04584 86.12 1.66
2458144.07362 90.02 1.58
2458144.09029 90.81 1.63
2458144.10626 87.81 1.51
2458144.12223 92.22 1.66
2458114.11762 74.12 2.58
2458114.15442 69.54 2.59
2458114.17039 66.54 2.50
2458114.19817 60.04 2.55
2458086.19696 89.48 1.17
2458086.21293 89.36 1.23
2458086.24696 87.30 1.31
2458086.26294 86.42 1.15
2458086.28030 84.09 1.17
2458086.29627 82.79 1.15
